,mt,mr,mre,mp
0,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",4.3,"1,63,846 Ratings & 9,582 Reviews","₹9,499₹14,99936% off"
1,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",4.3,"1,63,846 Ratings & 9,582 Reviews","₹9,499₹14,99936% off"
2,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4.3,"1,63,846 Ratings & 9,582 Reviews","₹9,499₹14,99936% off"
3,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",4.3,"1,63,846 Ratings & 9,582 Reviews","₹10,499₹16,99938% off"
4,"POCO C55 (Forest Green, 128 GB)",4.2,"31,308 Ratings & 1,782 Reviews","₹8,499₹13,99939% off"
5,"POCO C55 (Power Black, 128 GB)",4.2,"31,308 Ratings & 1,782 Reviews","₹8,499₹13,99939% off"
6,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",4.2,"35,983 Ratings & 2,098 Reviews","₹6,999₹11,49939% off"
7,"POCO C51 (Power Black, 64 GB)",4.1,"40,534 Ratings & 2,004 Reviews","₹6,499₹9,99935% off"
8,"POCO C51 (Royal Blue, 64 GB)",4.1,"40,534 Ratings & 2,004 Reviews","₹6,499₹9,99935% off"
9,"realme C53 (Champion Gold, 64 GB)",4.6,"7,399 Ratings & 295 Reviews","₹10,999₹12,99915% off"
10,"POCO C50 (Royal Blue, 32 GB)",4.2,"48,601 Ratings & 2,332 Reviews","₹5,499₹8,99938% off"
11,"realme C53 (Champion Black, 64 GB)",4.6,"7,399 Ratings & 295 Reviews","₹10,999₹12,99915% off"
12,"APPLE iPhone 13 (Starlight, 128 GB)",4.7,"2,45,721 Ratings & 12,674 Reviews","₹58,499₹69,90016% off"
13,"POCO C50 (Country Green, 32 GB)",4.2,"48,601 Ratings & 2,332 Reviews","₹5,499₹8,99938% off"
14,"APPLE iPhone 13 (Midnight, 128 GB)",4.7,"2,45,721 Ratings & 12,674 Reviews","₹58,499₹69,90016% off"
15,"Infinix SMART 7 (Azure Blue, 64 GB)",4.3,"54,761 Ratings & 2,765 Reviews","₹6,999₹9,99930% off"
16,"vivo T2x 5G (Aurora Gold, 128 GB)",4.4,"51,255 Ratings & 2,830 Reviews","₹12,999₹17,99927% off"
17,"vivo T2x 5G (Glimmer Black, 128 GB)",4.4,"51,255 Ratings & 2,830 Reviews","₹12,999₹17,99927% off"
18,"vivo T2x 5G (Marine Blue, 128 GB)",4.4,"92,537 Ratings & 5,395 Reviews","₹13,999₹18,99926% off"
19,"vivo T2x 5G (Glimmer Black, 128 GB)",4.4,"92,537 Ratings & 5,395 Reviews","₹13,999₹18,99926% off"
20,"MOTOROLA G62 5G (Frosted Blue, 128 GB)",4.1,"40,882 Ratings & 3,728 Reviews","₹14,999₹21,99931% off"
21,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",4.2,"35,983 Ratings & 2,098 Reviews","₹6,999₹11,49939% off"
22,"APPLE iPhone 13 (Pink, 128 GB)",4.7,"2,45,721 Ratings & 12,674 Reviews","₹58,499₹69,90016% off"
23,"MOTOROLA G32 (Mineral Gray, 128 GB)",4.1,"39,774 Ratings & 3,522 Reviews","₹11,999₹18,99936% off"
